"_IDOBJ","NOM_COMPLET","LIBELLE_PERIODE","DATE_DEBUT","DATE_FIN","JOUR","HEURE_DEBUT","HEURE_FIN"
"288","PARKING OUVRAGE GRASLIN","HORAIRE D'OUVERTURE DES GRILLES","01/01/2012","31/12/2012","DIMANCHE","06:00","23:00"
"288","PARKING OUVRAGE GRASLIN","HORAIRE D'OUVERTURE DES GRILLES","01/01/2012","31/12/2012","LUNDI","06:00","23:00"
"288","PARKING OUVRAGE GRASLIN","HORAIRE D'OUVERTURE DES GRILLES","01/01/2012","31/12/2012","MARDI","06:00","23:00"
"288","PARKING OUVRAGE GRASLIN","HORAIRE D'OUVERTURE DES GRILLES","01/01/2012","31/12/2012","MERCREDI","06:00","23:00"
"288","PARKING OUVRAGE GRASLIN","HORAIRE D'OUVERTURE DES GRILLES","01/01/2012","31/12/2012","JEUDI","06:00","23:00"
"288","PARKING OUVRAGE GRASLIN","HORAIRE D'OUVERTURE DES GRILLES","01/01/2012","31/12/2012","VENDREDI","06:00","23:00"
"288","PARKING OUVRAGE GRASLIN","HORAIRE D'OUVERTURE DES GRILLES","01/01/2012","31/12/2012","SAMEDI","06:00","23:00"
"677","PARKING OUVRAGE COMMERCE","","01/01/2012","31/12/2012","DIMANCHE","05:45","23:59"
"677","PARKING OUVRAGE COMMERCE","","01/01/2012","31/12/2012","LUNDI","05:45","23:59"
"677","PARKING OUVRAGE COMMERCE","","01/01/2012","31/12/2012","MARDI","05:45","23:59"
"677","PARKING OUVRAGE COMMERCE","","01/01/2012","31/12/2012","MERCREDI","05:45","23:59"
"677","PARKING OUVRAGE COMMERCE","","01/01/2012","31/12/2012","JEUDI","05:45","23:59"
"677","PARKING OUVRAGE COMMERCE","","01/01/2012","31/12/2012","VENDREDI","00:00","01:00"
"677","PARKING OUVRAGE COMMERCE","","01/01/2012","31/12/2012","VENDREDI","05:45","23:59"
"677","PARKING OUVRAGE COMMERCE","","01/01/2012","31/12/2012","SAMEDI","00:00","01:00"
"677","PARKING OUVRAGE COMMERCE","","01/01/2012","31/12/2012","SAMEDI","05:45","23:59"
"134","PARKING OUVRAGE MÉDIATHÈQUE","","01/01/2012","31/12/2012","DIMANCHE","6:00","23:00"
"134","PARKING OUVRAGE MÉDIATHÈQUE","","01/01/2012","31/12/2012","LUNDI","6:00","23:00"
"134","PARKING OUVRAGE MÉDIATHÈQUE","","01/01/2012","31/12/2012","MARDI","6:00","23:00"
"134","PARKING OUVRAGE MÉDIATHÈQUE","","01/01/2012","31/12/2012","MERCREDI","6:00","23:00"
"134","PARKING OUVRAGE MÉDIATHÈQUE","","01/01/2012","31/12/2012","JEUDI","6:00","23:00"
"134","PARKING OUVRAGE MÉDIATHÈQUE","","01/01/2012","31/12/2012","VENDREDI","6:00","23:00"
"134","PARKING OUVRAGE MÉDIATHÈQUE","","01/01/2012","31/12/2012","SAMEDI","6:00","23:00"
"1043","PARKING OUVRAGE ARISTIDE BRIAND","","01/01/2012","31/12/2012","LUNDI","7:30","21:30"
"1043","PARKING OUVRAGE ARISTIDE BRIAND","","01/01/2012","31/12/2012","MARDI","7:30","21:30"
"1043","PARKING OUVRAGE ARISTIDE BRIAND","","01/01/2012","31/12/2012","MERCREDI","7:30","21:30"
"1043","PARKING OUVRAGE ARISTIDE BRIAND","","01/01/2012","31/12/2012","JEUDI","7:30","21:30"
"1043","PARKING OUVRAGE ARISTIDE BRIAND","","01/01/2012","31/12/2012","VENDREDI","7:30","21:30"
"1043","PARKING OUVRAGE ARISTIDE BRIAND","","01/01/2012","31/12/2012","SAMEDI","7:30","21:30"
"1046","PARKING OUVRAGE TALENSAC","","01/01/2012","31/12/2012","DIMANCHE","07:30","20:00"
"1046","PARKING OUVRAGE TALENSAC","","01/01/2012","31/12/2012","LUNDI","6:30","23:00"
"1046","PARKING OUVRAGE TALENSAC","","01/01/2012","31/12/2012","MARDI","6:30","23:00"
"1046","PARKING OUVRAGE TALENSAC","","01/01/2012","31/12/2012","MERCREDI","6:30","23:00"
