Id ;PMV Origine ;Adresse origine ;Destination 
11;PMV 01 ;Prairie de Mauves ;PCE NEPTUNE 
12;PMV 01 ;Prairie de Mauves ;SAUPIN 
21;PMV 02 ;Cote St Sébastien ;NANTES CENTRE VIA PIRMIL 
22;PMV 02 ;Cote St Sébastien ;NANTES CENTRE VIA CLEMENCEAU 
31;PMV 03 ;St Jean (Rezé) ;NANTES CENTRE VIA CLEMENCEAU 
32;PMV 03 ;St Jean (Rezé) ;NANTES CENTRE VIA PIRMIL 
41;PMV 04 ;Rue Jean Jaurès (Rezé) ;NANTES CENTRE VIA PIRMIL 
42;PMV 04 ;Rue Jean Jaurès (Rezé) ;NANTES CENTRE VIA 3 CONTINENTS 
51;PMV 05 ;Pce Renaissance (Rezé) ;NANTES CENTRE VIA PIRMIL 
52;PMV 05 ;Pce Renaissance (Rezé) ;NANTES CENTRE VIA 3 CONTINENTS 
61;PMV 06 ;Bd De Gaulle (Rezé) ;NANTES CENTRE VIA PIRMIL 
62;PMV 06 ;Bd De Gaulle (Rezé) ;NANTES CENTRE VIA 3 CONTINENTS 
71;PMV 07 ;Rte de Pornic ;NANTES CENTRE VIA PIRMIL 
72;PMV 07 ;Rte de Pornic ;NANTES CENTRE VIA 3 CONTINENTS 
81;PMV 08 ;Pont Clémenceau ;PCE NEPTUNE 
82;PMV 08 ;Pont Clémenceau ;PCE RICORDEAU 
91;PMV 09 ;Bd Allende ;PCE HOLLANDE 
92;PMV 09 ;Bd Allende ;PCE REPUBLIQUE 
111;PMV 11 ;Bd Jules Verne ;PCE FOCH 
112;PMV 11 ;Bd Jules Verne ;PCE PONT MORAND 
121;PMV 12 ;Rte Ste Luce ;PCE NEPTUNE 
122;PMV 12 ;Rte Ste Luce ;PCE FOCH 
141;PMV 14 ;Avenue Carnot ;PTE SORINIERES VIA BEAULIEU 
142;PMV 14 ;Avenue Carnot ;PTE SORINIERES VIA MALAKOFF 
161;PMV 16 ;Bd Guy Mollet ;PCE PONT MORAND 
162;PMV 16 ;Bd Guy Mollet ;PCE BRETAGNE 
171;PMV 17 ;Bd Schuman ;PCE PONT MORAND 
172;PMV 17 ;Bd Schuman ;PCE BRETAGNE 
181;PMV 18 ;Rue Bellamy ;PTE RENNES 
182;PMV 18 ;Rue Bellamy ;PTE LA CHAPELLE 
191;PMV 19 ;Rte de Vannes ;PCE BRETAGNE 
192;PMV 19 ;Rte de Vannes ;PCE DELORME 
201;PMV 20 ;Rue Paul Chabas ;PCE DELORME 
202;PMV 20 ;Rue Paul Chabas ;PCE BRETAGNE 
211;PMV 21 ;Bd Léon Jouhaux ;PCE HOLLANDE 
212;PMV 21 ;Bd Léon Jouhaux ;PCE REPUBLIQUE 
221;PMV 22 ;Quai Ernest Renaud ;PCE HOLLANDE 
222;PMV 22 ;Quai Ernest Renaud ;PCE REPUBLIQUE 
261;PMV 26 ;Bd Victor Hugo ;PTE BOUGUENAIS 
271;PMV 27 ;Pont des Bourdonnières ;NANTES CENTRE VIA CLEMENCEAU 
272;PMV 27 ;Pont des Bourdonnières ;NANTES CENTRE VIA PIRMIL 
311;PMV 31 ;Bd Chevreul ;PCE HOLLANDE 
312;PMV 31 ;Bd Chevreul ;PCE REPUBLIQUE 
331;PMV 33 ;Rte de St Joseph ;PCEPONT MORAND 
332;PMV 33 ;Rte de St Joseph ;PCE FOCH 
361;PMV 36 ;Rue Général Buat ;PTE CARQUEFOU 
362;PMV 36 ;Rue Général Buat ;PTE BEAUJOIRE 
371;PMV 37 ;Rue du Coudray ;PTE BEAUJOIRE 
372;PMV 37 ;Rue du Coudray ;PTE CARQUEFOU 
381;PMV 38 ;Bd Amiral Courbet ;PTE LA CHAPELLE 
411;PMV 41 ;Pont des 3 Continents ;PCE RICORDEAU 
412;PMV 41 ;Pont des 3 Continents ;PCE HOLLANDE 
421;PMV 42 ;Pont de Pirmil ;PCE RICORDEAU 
422;PMV 42 ;Pont de Pirmil ;PCE HOLLANDE 
