"_IDOBJ","NOM_COMPLET","LIBCATEGORIE","LIBTYPE","COMMUNE","CODCOMMUNE","ADRESSE","TELEPHONE","SITE_WEB","CODE_POSTAL","_l","PRESENTATION","CAPACITE_VOITURE","CAPACITE_PMR","CAPACITE_VEHICULE_ELECTRIQUE","CAPACITE_VELO","SERVICE_VELO","AUTRES_SERVICE_MOB_PROX","SERVICES","MOYEN_PAIEMENT","CONDITIONS_D_ACCES","EXPLOITANT"
"134","Parking ouvrage Médiathèque","Parking Ouvrage","Mixte","NANTES","440109","Rue Neuve des Capucins","02 51 84 94 51","http://www.parkings-nantes.fr","44000","[ 47.2108708271003 , -1.5623381759623]","Parking de Centre-ville.Parking Accessible 24h/24 et 7j/7 pour les abonnés.","447","4","2","82","Non","Station Tramway ""Médiathèque"" Ligne 1.Station Bicloo n°34 équipée d'un lecteur de cartes bancaires.","Vidéosurveillance, Interphonie, Téléjalonnement","CB - Chèques - Espèces - Monéo - Carte à décompte","Payant","NGE"
"280","Parking ouvrage Gare Nord","Parking Ouvrage","Elévation","NANTES","440109","Boulevard de Stalingrad","08 25 88 88 26","http://www.resaplace.com/","44000","[ 47.2166890401729 , -1.54498433411572]","Parking de Gare.Parking Accessible 24h/24 et 7j/7 pour les abonnés.","597","10","2","131","Oui","Gare de Nantes.Station Bicloo 62 ""Gare Nord"" (équipée CB).Station Tramway Ligne 1 ""Gare Nord"".","Location vélo classique ou électrique de la 1/2 journée à l'année.Vidéosurveillance, Interphonie, Téléjalonnement","Carte Bancaire. Espèces. Monéo","Payant","EFFIA"
"284","Parking ouvrage Decré-Bouffay","Parking Ouvrage","Mixte","NANTES","440109","18 Rue du Moulin","02 51 84 94 51","http://www.parkings-nantes.fr","44000","[ 47.2166626199643 , -1.55400463227177]","Parking de Centre-ville.Parking Accessible 24h/24 et 7j/7 pour les abonnés.","555","2","0","68","Non","Station Tramway Lignes 1-2-3 ""Commerce"".Station Bicloo n°4 ""Moulin"".Station Marguerite ""Hôtel de Ville"" (Véhicule en libre service).","Téléjalonnement, Carte de paiement à décompte, kit dépannage batterie, prêt de parapluie, prêt de cabas et de poussettes, isothermes, toilettes publiques, infocirculation Nantes Métropole, vidéosurveillance","CB, espèces, Moneo, carte à décompte","Payant","NGE"
"288","Parking ouvrage Graslin","Parking Ouvrage","Elévation","NANTES","440109","Rue Scribe","02 51 84 94 51","http://www.parkings-nantes.fr","44000","[ 47.2143102105068 , -1.56257181621741]","Parking de Centre-ville.Parking Accessible 24h/24 et 7j/7 pour les abonnés.","515","6","2","27","Non","Station bicloo n°33 ""Racine"".Station Marguerite ""Graslin"" (Véhicule en libre service).Arrêt de bus ""Graslin"" Lignes 22-21-23-24-42-51-56.","Téléjalonnement, Carte de paiement à décompte, kit dépannage batterie, prêt de parapluie, prêt de cabas et de poussettes, isothermes, toilettes publiques, infocirculation Nantes métropole, vidéosurveillance. ","CB, Espèce, Moneo, Carte à décompte","Payant","NGE"
"299","Parking ouvrage Tour Bretagne","Parking Ouvrage","Mixte","NANTES","440109","4 Place de Bretagne","02 51 84 94 51","http://www.parkings-nantes.fr","44000","[ 47.2177394198201 , -1.55820163936291]","Parking de Centre-ville.Parking Accessible 24h/24 et 7j/7 pour les abonnés.","645","27","0","85","Non","Station Tramway Lignes 3 ""Bretagne"".Station Bicloo n°14 ""Bretagne Nord"".Station Marguerite ""Place Bretagne"" (Véhicule en libre service).","Téléjalonnement, Carte de paiement à décompte, kit dépannage batterie, prêt de parapluie, prêt de cabas et de poussettes, isothermes, toilettes publiques, infocirculation Nantes Métropole, vidéosurveillance.","CB, espèces, Moneo, carte à décompte","Payant","NGE"
"677","Parking ouvrage Commerce","Parking Ouvrage","Souterrain","NANTES","440109","Place du Commerce","02 51 84 94 51","http://www.parkings-nantes.fr","44000","[ 47.2131202858024 , -1.55771321969051]","Parking de Centre-ville.Parking Accessible 24h/24 et 7j/7 pour les abonnés.","534","2","2","100","Oui","Station bicloo n°30 - Commerce.Station Marguerite : Square Jean Baptiste Daviais (Service véhicule en libre service).Tramway Ligne 1-2-3 station ""Commerce"".","Téléjalonnement, Carte de paiement à décompte, kit dépannage batterie, prêt de parapluie, prêt de cabas et de poussettes, isothermes, toilettes publiques, infocirculation Nantes Métropole.Location de vélos classiques et électriques de la 1/2 journée à l'année.","CB, espèces, Moneo, carte à décompte","Payant","NGE"
"1043","Parking ouvrage Aristide Briand","Parking Ouvrage","Souterrain","NANTES","440109","Place Aristide Briand","08 10 26 30 00","http://www.vincipark.com","44000","[ 47.2170936048579 , -1.56293641808053]","Parking de Centre-ville.Parking accessible 24h/24 et 7j/7 pour les abonnés.","307","9","0","0","Non","Station Tramway Ligne 3 ""Jean-Jaurès"".Station Bicloo n°15 ""Place Aristide Briand"".","Paiement bancaire en borne de sortie, Prêt d'un kit de dépannage, Vidéo surveillance, Zone motos, Prêt de parapluie, Prêt de vélos, Service d'accompagnement des clients à leur véhicule, Informations trafic"," Espèces, chèque, Carte Bancaire, Carte à décompte, Badge liber-t","Payant","VINCI PARK"
"1044","Parking ouvrage Cité des Congrès","Parking Ouvrage","Souterrain","NANTES","440109","Avenue Jean Claude Bonduelle","02 51 84 94 51","http://www.parkings-nantes.fr","44000","[ 47.2129016709023 , -1.54397127716684]","Parking de Centre-ville.Parking Accessible 24h/24 et 7j/7 pour les abonnés.","430","10","2","29","Non","Station Busway Ligne 4 ""Cité Internationale des Congrès"".Station Bicloo n°54 ""Cité Internationale des Congrès"" (équipée CB).Station Marguerite ""Cité des Congrès"" (Véhicule en libre service).","Paiement CB en borne de sortie, Vidéosurveillance, Interphonie , Téléjalonnement","CB, espèces, Moneo, carte à décompte","Payant","NGE"
"1046","Parking ouvrage Talensac","Parking Ouvrage","Elévation","NANTES","440109","Rue Le Nôtre","02 51 84 94 51","http://www.parkings-nantes.fr","44000","[ 47.2202559810468 , -1.55835729990237]","Parking de Centre-ville.Parking Accessible 24h/24 et 7j/7 pour les abonnés.","365","9","2","43","Non","Station Tramway Lignes 3 ""50 Otages"".Station Bicloo n°1 ""Préfecture"" (équipée CB).Station Marguerite ""50 Otages"" (Véhicule en libre service).","Téléjalonnement, Carte de paiement à décompte, kit dépannage batterie, prêt de parapluie, prêt de cabas et de poussettes, isothermes, toilettes publiques, infocirculation Nantes Métropole, vidéosurveillance.","CB, espèces, Moneo, carte à décompte","Payant","NGE"
"3549","Parc en enclos Gloriette 1","Parc en Enclos","","NANTES","440109","Allée de l'Ile Gloriette","02 51 84 94 51","http://www.parkings-nantes.fr","44000","[ 47.2111796553233 , -1.55843872950464]","Les parcs en enclos du centre-ville de Nantes proposent une offre de stationnement privilégiant le stationnement inférieur à 2 heures. Ils sont accessibles 24h/24 et 7j/7.","172","2","0","0","Non","Station Tramway Ligne 1 ""Commerce"".Station Marguerite ""Delorme"" (Véhicules en libre service).Station Bicloo n°37 ""Feydeau.","Paiement CB en borne de sortie, Vidéosurveillance, Interphonie , Téléjalonnement","Carte bancaire, Espéces, Moneo","Payant","NGE"
"3550","Parc en enclos Hôtel Dieu","Parc en Enclos","","NANTES","440109","Chaussée de la Madeleine","02 51 84 94 51","http://www.parkings-nantes.fr","44000","[ 47.2110570860299 , -1.55198311230427]","Les parcs en enclos du centre-ville de Nantes proposent une offre de stationnement privilégiant le stationnement inférieur à 2 heures. Ils sont accessibles 24h/24 et 7j/7.","122","4","0","0","Non","Station Tramway Lignes 2-3 ""Hôtel Dieu"".Station Bicloo n°38 ""Place Ricordeau"".Station Marguerite ""Baco"" (Véhicule en libre service).","Paiement CB en borne de sortie, Vidéosurveillance, Interphonie , Téléjalonnement","Carte bancaire, Espèces, Moneo","Payant","NGE"
"3551","Parc en enclos Baco-LU","Parc en Enclos","","NANTES","440109","Allée Baco","02 51 84 94 51","http://www.parkings-nantes.fr","44000","[ 47.2138552490303 , -1.54987288302294]","Les parcs en enclos du centre-ville de Nantes proposent une offre de stationnement privilégiant le stationnement inférieur à 2 heures. Ils sont accessibles 24h/24 et 7j/7.","242","6","0","0","Non","Station Tramway Lignes 2-3 ""Hôtel Dieu"".Station Bicloo n°52 ""Baco"".Station Marguerite ""Baco"" (Véhicule en libre service).","Paiement CB en borne de sortie, Vidéosurveillance, Interphonie , Téléjalonnement","Carte bancaire, Espèces, Moneo","Payant"," NGE"
"3554","Parc en enclos Château","Parc en Enclos","","NANTES","440109","Rue Henri IV","02 51 84 94 51","http://www.parkings-nantes.fr","44000","[ 47.2169899609793 , -1.54785044968527]","Les parcs en enclos du centre-ville de Nantes proposent une offre de stationnement privilégiant le stationnement inférieur à 2 heures. Ils sont accessibles 24h/24 et 7j/7.","118","4","0","0","Non","Station Tramway Ligne 1 ""Duchesse Anne"".Station Bicloo n°49 ""Duchesse Anne"".Station Marguerite ""Duchesse Anne"" (Véhicule en libre service).","Paiement CB en borne de sortie, Vidéosurveillance, Interphonie , Téléjalonnement","Carte bancaire, Espèces, Moneo","Payant","NGE"
"3555","Parc en enclos Gare Sud 3","Parc en Enclos","","NANTES","440109","Rue Marcel Paul","08 25 88 88 26","http://www.parking-nantes.fr","44000","[ 47.216135859474 , -1.53789482834948]","Parc en enclos de Gare accessible 24h/24 et 7j/7.","468","9","0","0","Non","","Paiement CB libre service (borne de sortie)","Carte bancaire, Espèces","Payant","EFFIA"
"3589","Parc en enclos Gare Sud 2","Parc en Enclos","","NANTES","440109","Quai Malakoff","08 25 88 88 26","http://www.parkings-nantes.fr","44000","[ 47.2142340366163 , -1.54134337584288]","Parc en enclos de Gare, accessible 24h/24 et 7j/7.","279","5","0","0","Non","","Paiement CB libre service (borne de sortie)","Carte bancaire, Espèces","Payant","EFFIA"
"3590","Parc en enclos Gare Sud 2 limité 1h","Parc en Enclos","","NANTES","440109","Quai Malakoff","08 25 88 88 26","http://www.parkings-nantes.fr","44000","[ 47.2152021232956 , -1.54267513884661]","Parc en enclos pour le stationnement de courte durée en lien avec la Gare SNCF (maximum 1h, au delà, 2 par 1/2 heure supplémentaire)","33","1","0","0","Non","","Paiement CB libre service (borne de sortie)","Carte bancaire, Espèces","Payant","EFFIA"
"3650","Parc en enclos Bellamy","Parc en Enclos","","NANTES","440109","Impasse de la Courtine","02 51 84 94 51","http://www.parkigns-nantes.fr","44000","[ 47.2223604161017 , -1.55769369256355]","Les parcs en enclos du centre-ville de Nantes proposent une offre de stationnement privilégiant le stationnement inférieur à 2 heures. Ils sont accessibles 24h/24 et 7j/7.Possibilité d'abonnements pour les commerçants du marché de Talensac.","78","2","0","0","Non","Station Tramway Lignes 2 ""50 Otages"".Station Bicloo n°21 ""Marché Talensac Sud"".Station Marguerite ""50 Otages"" (Véhicule en libre service).","Paiement CB en borne de sortie, Vidéosurveillance, Interphonie , Téléjalonnement","Carte bancaire, Espèces, Moneo","Payant","NGE"
"3651","Parc en enclos CHU","Parc en Enclos","","NANTES","440109","Quai de Tourville","02 51 84 94 51","http://www.parkings-nantes.fr","44000","[ 47.2093619715999 , -1.55725023399242]","Les parcs en enclos du centre-ville de Nantes proposent une offre de stationnement privilégiant le stationnement inférieur à 2 heures. Ils sont accessibles 24h/24 et 7j/7.Possibilité d'abonnements pour les commerçants du marché de la Petite Hollande.","148","3","0","0","Non","Station Tramway Lignes 2-3 ""Aimé Delrue"" et Ligne 1 ""Commerce"".Station Bicloo n°39 ""Quai Moncousu"".","Paiement CB en borne de sortie, Vidéosurveillance, Interphonie, Téléjalonnement","Carte bancaire, Espèces, Moneo","Payant","NGE"
"3652","Parking ouvrage Cathédrale","Parking Ouvrage","Souterrain","NANTES","440109","Rue Sully","02 51 84 94 51","http://www.parkings-nantes.fr/","44000","[ 47.2208133510721 , -1.55105616832611]","Parking de Centre-ville.Parking Accessible 24h/24 et 7j/7 pour les abonnés.","398","9","2","67","Non","Station Busway Ligne 4 ""Foch Cathédrale"".Station Bicloo n°70 ""Foch Cathédrale"".Station Marguerite ""Duchesse Anne"" (Véhicule en libre service).","Vidéosurveillance, Interphonie , Téléjalonnement","CB, espèces, Moneo, carte à décompte","Payant","NGE"
"3951","Parking ouvrage Les Machines","Parking Ouvrage","Elévation","NANTES","440109","Rue Arthur III","08 25 88 88 26","https://www.resaplace.com/","44200","[ 47.2059006220645 , -1.56272779236372]","Parking Ile de Nantes.Parking Accessible 24h/24 et 7j/7 pour les abonnés.","621","21","2","64","Non","Station Tramway Lignes 1 ""Chantiers Navals"".Station Bicloo n°43 ""Machines de l'Ile"".Station Marguerite ""Ecole d'Archi"" (Véhicule en libre service).","Paiement CB en borne de sortie, Vidéosurveillance, Interphonie , Téléjalonnement","CB, espèces, Moneo","Payant","EFFIA"
