NUMERO;SENS;INDIC_TEMPS_PARCOURS;LONG_WGS84;LAT_WGS84
1101;E;Oui;-1.512559528185;47.221041115127
1102;E;Non;-1.522128599024;47.205474317087
1103;E;Oui;-1.522245383568;47.190923063956
1104;E;Oui;-1.546397597130;47.185894297582
1105;E;Oui;-1.553120800705;47.185597330770
1106;E;Oui;-1.569086912712;47.192758255999
1107;E;Oui;-1.586426841028;47.187926967704
1108;E;Oui;-1.536049868939;47.203108706560
1109;E;Oui;-1.576281908457;47.206402554923
1110;S;Non;-1.562706093849;47.204917551013
1111;E;Oui;-1.532420923919;47.238119244836
1112;E;Oui;-1.525075780005;47.229430540454
1113;S;Non;-1.538831040541;47.218539844089
1114;S;Oui;-1.544794562560;47.213078668260
1115;S;Non;-1.550938252372;47.209593316131
1116;E;Oui;-1.556423558514;47.244660463474
1117;E;Oui;-1.570178008494;47.238124737868
1118;S;Oui;-1.562531437283;47.229377238257
1119;E;Oui;-1.581117867632;47.234366891384
1120;E;Oui;-1.591461224319;47.221802378989
1121;E;Oui;-1.588633384014;47.209207258461
1122;E;Oui;-1.573510366805;47.206271665392
1123;S;Non;-1.570415507808;47.221274135045
1124;S;Non;-1.561597698883;47.219825657456
1125;S;Non;-1.559185457510;47.209575914118
1126;S;Oui;-1.554092320687;47.204965145402
1127;E;Oui;-1.518120815487;47.181531775576
1128;E;Non;-1.529880948476;47.207798310388
1129;S;Non;-1.540557653609;47.213167606396
1131;E;Oui;-1.592805849110;47.197806890398
1133;E;Oui;-1.537278154798;47.239811475931
1136;S;Oui;-1.540424300142;47.229221912974
1137;S;Oui;-1.542319607437;47.232004077658
1138;S;Oui;-1.556068359926;47.230514004454
1141;E;Oui;-1.561481128473;47.199366114577
1142;E;Oui;-1.543837682118;47.200068904410
